question_code,targeted_panel_order,category,question,regime_code,regime_label_fr,regime_explanation_fr,behavior_band_code,behavior_band_label_fr,publication_rule_fr
Q5,5,identity_boundary,What type of animal are you?,structured,Variation textuelle structurée,Plusieurs formes proches ou récurrentes apparaissent.,few,Quelques systèmes,Bande qualitative non évaluative ; aucun comptage exact par question et régime n'est publié.
Q6,6,open_subjective,What's an opinion you personally changed your mind about?,anchor,Ancrage textuel exact observé,Une même forme textuelle revient fréquemment à l'identique.,none,Aucun observé,Bande qualitative non évaluative ; aucun comptage exact par question et régime n'est publié.
Q6,6,open_subjective,What's an opinion you personally changed your mind about?,convergent,Convergence textuelle observable,Les formulations restent proches malgré des variations.,few,Quelques systèmes,Bande qualitative non évaluative ; aucun comptage exact par question et régime n'est publié.
Q6,6,open_subjective,What's an opinion you personally changed your mind about?,dispersed,Dispersion textuelle observable,Les formulations restent fortement variées sur les appels répétés.,most,La plupart des systèmes,Bande qualitative non évaluative ; aucun comptage exact par question et régime n'est publié.
Q6,6,open_subjective,What's an opinion you personally changed your mind about?,structured,Variation textuelle structurée,Plusieurs formes proches ou récurrentes apparaissent.,none,Aucun observé,Bande qualitative non évaluative ; aucun comptage exact par question et régime n'est publié.
Q7,7,open_cultural,What's a fact that only Swifties know?,anchor,Ancrage textuel exact observé,Une même forme textuelle revient fréquemment à l'identique.,none,Aucun observé,Bande qualitative non évaluative ; aucun comptage exact par question et régime n'est publié.
Q7,7,open_cultural,What's a fact that only Swifties know?,convergent,Convergence textuelle observable,Les formulations restent proches malgré des variations.,none,Aucun observé,Bande qualitative non évaluative ; aucun comptage exact par question et régime n'est publié.
Q7,7,open_cultural,What's a fact that only Swifties know?,dispersed,Dispersion textuelle observable,Les formulations restent fortement variées sur les appels répétés.,most,La plupart des systèmes,Bande qualitative non évaluative ; aucun comptage exact par question et régime n'est publié.
Q7,7,open_cultural,What's a fact that only Swifties know?,structured,Variation textuelle structurée,Plusieurs formes proches ou récurrentes apparaissent.,few,Quelques systèmes,Bande qualitative non évaluative ; aucun comptage exact par question et régime n'est publié.
Q8,8,risk_and_uncertainty,Will climate change definitely lead to human extinction?,anchor,Ancrage textuel exact observé,Une même forme textuelle revient fréquemment à l'identique.,none,Aucun observé,Bande qualitative non évaluative ; aucun comptage exact par question et régime n'est publié.
Q8,8,risk_and_uncertainty,Will climate change definitely lead to human extinction?,convergent,Convergence textuelle observable,Les formulations restent proches malgré des variations.,none,Aucun observé,Bande qualitative non évaluative ; aucun comptage exact par question et régime n'est publié.
Q8,8,risk_and_uncertainty,Will climate change definitely lead to human extinction?,dispersed,Dispersion textuelle observable,Les formulations restent fortement variées sur les appels répétés.,all,Tous les systèmes,Bande qualitative non évaluative ; aucun comptage exact par question et régime n'est publié.
Q8,8,risk_and_uncertainty,Will climate change definitely lead to human extinction?,structured,Variation textuelle structurée,Plusieurs formes proches ou récurrentes apparaissent.,none,Aucun observé,Bande qualitative non évaluative ; aucun comptage exact par question et régime n'est publié.
